scenario,T,TECH,TYPE,F,value
S0,T5243,EC,CO,electricity,1.0
S0,T5244,EC,CO,electricity,1.0
S0,T5245,EC,CO,electricity,1.0
S0,T5246,EC,CO,electricity,1.0
S0,T5247,EC,CO,electricity,1.0
S0,T5248,EC,CO,electricity,1.0
S0,T5249,EC,CO,electricity,1.0
S0,T5250,EC,CO,electricity,1.0
S0,T5251,EC,CO,electricity,1.0
S0,T5252,EC,CO,electricity,1.0
S0,T5253,EC,CO,electricity,1.0
S0,T5254,EC,CO,electricity,1.0
S0,T5255,EC,CO,electricity,1.0
S0,T5256,EC,CO,electricity,1.0
S0,T5257,EC,CO,electricity,1.0
S0,T5258,EC,CO,electricity,1.0
S0,T5259,EC,CO,electricity,1.0
S0,T5260,EC,CO,electricity,1.0
S0,T5261,EC,CO,electricity,1.0
S0,T5262,EC,CO,electricity,1.0
S0,T5263,EC,CO,electricity,1.0
S0,T5264,EC,CO,electricity,1.0
S0,T5265,EC,CO,electricity,1.0
S0,T5266,EC,CO,electricity,1.0
S0,T5267,EC,CO,electricity,1.0
S0,T5268,EC,CO,electricity,1.0
S0,T5269,EC,CO,electricity,1.0
S0,T5270,EC,CO,electricity,1.0
S0,T5271,EC,CO,electricity,1.0
S0,T5272,EC,CO,electricity,1.0
S0,T5273,EC,CO,electricity,1.0
S0,T5274,EC,CO,electricity,1.0
S0,T5275,EC,CO,electricity,1.0
S0,T5276,EC,CO,electricity,1.0
S0,T5277,EC,CO,electricity,1.0
S0,T5278,EC,CO,electricity,1.0
S0,T5279,EC,CO,electricity,1.0
S0,T5280,EC,CO,electricity,1.0
S0,T5281,EC,CO,electricity,1.0
S0,T5282,EC,CO,electricity,1.0
S0,T5283,EC,CO,electricity,1.0
S0,T5284,EC,CO,electricity,1.0
S0,T5285,EC,CO,electricity,1.0
S0,T5286,EC,CO,electricity,1.0
S0,T5287,EC,CO,electricity,1.0
S0,T5288,EC,CO,electricity,1.0
S0,T5289,EC,CO,electricity,1.0
S0,T5290,EC,CO,electricity,1.0
S0,T5291,EC,CO,electricity,1.0
S0,T5292,EC,CO,electricity,1.0
S0,T5293,EC,CO,electricity,1.0
S0,T5294,EC,CO,electricity,1.0
S0,T5295,EC,CO,electricity,1.0
S0,T5296,EC,CO,electricity,1.0
S0,T5297,EC,CO,electricity,1.0
S0,T5298,EC,CO,electricity,1.0
S0,T5299,EC,CO,electricity,1.0
S0,T5300,EC,CO,electricity,1.0
S0,T5301,EC,CO,electricity,1.0
S0,T5302,EC,CO,electricity,1.0
S0,T5303,EC,CO,electricity,1.0
S0,T5304,EC,CO,electricity,1.0
S0,T5305,EC,CO,electricity,1.0
S0,T5306,EC,CO,electricity,1.0
S0,T5307,EC,CO,electricity,1.0
S0,T5308,EC,CO,electricity,1.0
S0,T5309,EC,CO,electricity,1.0
S0,T5310,EC,CO,electricity,1.0
S0,T5311,EC,CO,electricity,1.0
S0,T5312,EC,CO,electricity,1.0
S0,T5313,EC,CO,electricity,1.0
S0,T5314,EC,CO,electricity,1.0
S0,T5315,EC,CO,electricity,1.0
S0,T5316,EC,CO,electricity,1.0
S0,T5317,EC,CO,electricity,1.0
S0,T5318,EC,CO,electricity,1.0
S0,T5319,EC,CO,electricity,1.0
S0,T5320,EC,CO,electricity,1.0
S0,T5321,EC,CO,electricity,1.0
S0,T5322,EC,CO,electricity,1.0
S0,T5323,EC,CO,electricity,1.0
S0,T5324,EC,CO,electricity,1.0
S0,T5325,EC,CO,electricity,1.0
S0,T5326,EC,CO,electricity,1.0
S0,T5327,EC,CO,electricity,1.0
S0,T5328,EC,CO,electricity,1.0
S0,T5329,EC,CO,electricity,1.0
S0,T5330,EC,CO,electricity,1.0
S0,T5331,EC,CO,electricity,1.0
S0,T5332,EC,CO,electricity,1.0
S0,T5333,EC,CO,electricity,1.0
S0,T5334,EC,CO,electricity,1.0
S0,T5335,EC,CO,electricity,1.0
S0,T5336,EC,CO,electricity,1.0
S0,T5337,EC,CO,electricity,1.0
S0,T5338,EC,CO,electricity,1.0
S0,T5339,EC,CO,electricity,1.0
S0,T5340,EC,CO,electricity,1.0
S0,T5341,EC,CO,electricity,1.0
S0,T5342,EC,CO,electricity,1.0
S0,T5343,EC,CO,electricity,1.0
S0,T5344,EC,CO,electricity,1.0
S0,T5345,EC,CO,electricity,1.0
S0,T5346,EC,CO,electricity,1.0
S0,T5347,EC,CO,electricity,1.0
S0,T5348,EC,CO,electricity,1.0
S0,T5349,EC,CO,electricity,1.0
S0,T5350,EC,CO,electricity,1.0
S0,T5351,EC,CO,electricity,1.0
S0,T5352,EC,CO,electricity,1.0
S0,T5353,EC,CO,electricity,1.0
S0,T5354,EC,CO,electricity,1.0
S0,T5355,EC,CO,electricity,1.0
S0,T5356,EC,CO,electricity,1.0
S0,T5357,EC,CO,electricity,1.0
S0,T5358,EC,CO,electricity,1.0
S0,T5359,EC,CO,electricity,1.0
S0,T5360,EC,CO,electricity,1.0
S0,T5361,EC,CO,electricity,1.0
S0,T5362,EC,CO,electricity,1.0
S0,T5363,EC,CO,electricity,1.0
S0,T5364,EC,CO,electricity,1.0
S0,T5365,EC,CO,electricity,1.0
S0,T5366,EC,CO,electricity,1.0
S0,T5367,EC,CO,electricity,1.0
S0,T5368,EC,CO,electricity,1.0
S0,T5369,EC,CO,electricity,1.0
S0,T5370,EC,CO,electricity,1.0
S0,T5371,EC,CO,electricity,1.0
S0,T5372,EC,CO,electricity,1.0
S0,T5373,EC,CO,electricity,1.0
S0,T5374,EC,CO,electricity,1.0
S0,T5375,EC,CO,electricity,1.0
S0,T5376,EC,CO,electricity,1.0
S0,T7393,FC,CO,electricity,1.0
S0,T7394,FC,CO,electricity,1.0
S0,T7395,FC,CO,electricity,1.0
S0,T7396,FC,CO,electricity,1.0
S0,T7397,FC,CO,electricity,1.0
S0,T7398,FC,CO,electricity,1.0
S0,T7399,FC,CO,electricity,1.0
S0,T7400,FC,CO,electricity,1.0
S0,T7401,FC,CO,electricity,1.0
S0,T7402,FC,CO,electricity,1.0
S0,T7403,FC,CO,electricity,1.0
S0,T7404,FC,CO,electricity,1.0
S0,T7405,FC,CO,electricity,1.0
S0,T7406,FC,CO,electricity,1.0
S0,T7407,FC,CO,electricity,1.0
S0,T7408,FC,CO,electricity,1.0
S0,T7409,FC,CO,electricity,1.0
S0,T7410,FC,CO,electricity,1.0
S0,T7411,FC,CO,electricity,1.0
S0,T7412,FC,CO,electricity,1.0
S0,T7413,FC,CO,electricity,1.0
S0,T7414,FC,CO,electricity,1.0
S0,T7415,FC,CO,electricity,1.0
S0,T7416,FC,CO,electricity,1.0
S0,T7417,FC,CO,electricity,1.0
S0,T7418,FC,CO,electricity,1.0
S0,T7419,FC,CO,electricity,1.0
S0,T7420,FC,CO,electricity,1.0
S0,T7421,FC,CO,electricity,1.0
S0,T7422,FC,CO,electricity,1.0
S0,T7423,FC,CO,electricity,1.0
