scenario,T,TECH,TYPE,F,value
S0,T0855,ARGO5,BP,municipal waste,65.0
S0,T0855,ARGO6,BP,municipal waste,73.0
S0,T0855,KKV7,BP,wood chips,47.0
S0,T0855,KKV8,BP,wood chips,56.0
S0,T0855,VF5,BP,municipal waste,85.0
S0,T0855,VF6,BP,municipal waste,112.0
S0,T0855,HOB_EL,HO,electricity,120.0
S0,T0855,HOB_NG,HO,natural gas,227.16104568104058
S0,T0855,HOB_WP,HO,wood pellets,33.0
S0,T0855,HOB_WW,HO,wood waste,14.0
S0,T0855,DEH,HO,excess heat,8.0
S0,T0855,HP_AIR,HO,electricity,3.248
S0,T0856,FC,CO,electricity,0.04329004329004329
S0,T0856,AMV1,BP,wood pellets,362.0
S0,T0856,AMV4,BP,wood chips,500.0
S0,T0856,ARC,BP,municipal waste,224.0
S0,T0856,ARGO5,BP,municipal waste,65.0
S0,T0856,ARGO6,BP,municipal waste,73.0
S0,T0856,KKV7,BP,wood chips,47.0
S0,T0856,KKV8,BP,wood chips,56.0
S0,T0856,VF5,BP,municipal waste,85.0
S0,T0856,VF6,BP,municipal waste,112.0
S0,T0856,HOB_EL,HO,electricity,120.0
S0,T0856,HOB_NG,HO,natural gas,232.07848257424445
S0,T0856,HOB_WP,HO,wood pellets,33.0
S0,T0856,HOB_WW,HO,wood waste,14.0
S0,T0856,DEH,HO,excess heat,8.0
S0,T0856,HP_AIR,HO,electricity,3.248
S0,T0857,FC,CO,electricity,0.04329004329004329
S0,T0857,AMV1,BP,wood pellets,362.0
S0,T0857,AMV4,BP,wood chips,500.0
S0,T0857,ARC,BP,municipal waste,224.0
S0,T0857,ARGO5,BP,municipal waste,65.0
S0,T0857,ARGO6,BP,municipal waste,73.0
S0,T0857,KKV7,BP,wood chips,47.0
S0,T0857,KKV8,BP,wood chips,56.0
S0,T0857,VF5,BP,municipal waste,85.0
S0,T0857,VF6,BP,municipal waste,112.0
S0,T0857,HOB_EL,HO,electricity,120.0
S0,T0857,HOB_NG,HO,natural gas,265.1197252926911
S0,T0857,HOB_WP,HO,wood pellets,33.0
S0,T0857,HOB_WW,HO,wood waste,14.0
S0,T0857,DEH,HO,excess heat,8.0
S0,T0857,HP_AIR,HO,electricity,3.248
S0,T0858,FC,CO,electricity,0.04329004329004329
S0,T0858,AMV1,BP,wood pellets,362.0
S0,T0858,AMV4,BP,wood chips,500.0
S0,T0858,ARC,BP,municipal waste,224.0
S0,T0858,ARGO5,BP,municipal waste,65.0
S0,T0858,ARGO6,BP,municipal waste,73.0
S0,T0858,KKV7,BP,wood chips,47.0
S0,T0858,KKV8,BP,wood chips,56.0
S0,T0858,VF5,BP,municipal waste,85.0
S0,T0858,VF6,BP,municipal waste,112.0
S0,T0858,HOB_EL,HO,electricity,120.0
S0,T0858,HOB_NG,HO,natural gas,249.5857447101668
S0,T0858,HOB_WP,HO,wood pellets,33.0
S0,T0858,HOB_WW,HO,wood waste,14.0
S0,T0858,DEH,HO,excess heat,8.0
S0,T0858,HP_AIR,HO,electricity,3.248
S0,T0859,FC,CO,electricity,0.04329004329004329
S0,T0859,AMV1,BP,wood pellets,362.0
S0,T0859,AMV4,BP,wood chips,500.0
S0,T0859,ARC,BP,municipal waste,224.0
S0,T0859,ARGO5,BP,municipal waste,65.0
S0,T0859,ARGO6,BP,municipal waste,73.0
S0,T0859,KKV7,BP,wood chips,47.0
S0,T0859,KKV8,BP,wood chips,56.0
